county,cancer_avg_cost,avg_income,cancer_cost_ratio,poverty_5y,Unemployment,numbers_hospitals,population_2019,under5,under18,over65,female,percent_uninsured,poverty,above_avg_cancer_ratio,above_avg_income,%smoker,percent_smokers,%obesity,percent_adult_obesity,% drinkers,percent_excessive_drinkers,% unemployment,percent_unemployment_2020
Macon County,19759,43402,0.455255518,0.185521573,0.068366162,1,24602,7,24.5,16.1,51.1,14.4,18.1,TRUE,FALSE,23.52192,0.235219218,34.60,0.35,14.3891,0.143891248,3.2,0.032117187
Madison County,17830,52765,0.33791339,0.194092065,0.072774008,3,97984,6.2,22.3,17.6,52.6,11.3,17.8,FALSE,TRUE,22.45490,0.224549035,38.70,0.39,13.4930,0.134929755,3.8,0.037645898
Marion County,22959,49056,0.468016145,0.192333847,0.065054275,1,28907,5.7,21,20.3,51,11.5,15.3,TRUE,TRUE,21.13742,0.211374159,30.50,0.31,14.0764,0.140764495,4.7,0.04688137
Marshall County,20413,47390,0.430744883,0.15070577,0.084230229,1,34375,6.2,23.1,16.4,51,11.1,14.1,TRUE,FALSE,21.94464,0.219446358,37.90,0.38,15.2675,0.152674827,3.4,0.034437777
Maury County,18992,53480,0.355123411,0.147061259,0.071007468,2,96387,6.6,23.3,16.3,51.7,10.2,10.8,FALSE,TRUE,20.99469,0.209946911,32.50,0.33,14.7129,0.147128641,3.2,0.032347057
Meigs County,16240,45104,0.360056758,0.188465223,0.1254417,0,12422,5.3,20,21.7,50.4,12.3,17.8,FALSE,FALSE,21.99892,0.2199892,35.40,0.35,13.5108,0.135107702,4.5,0.045050385
Monroe County,19835,46256,0.428809236,0.192385361,0.115238652,1,46545,5.3,20.9,21.4,50.2,14.1,15.7,FALSE,FALSE,22.55378,0.225537845,32.70,0.33,12.4636,0.124635834,3.7,0.037105751
Montgomery County,20341,47674,0.426668624,0.151900917,0.07128118,2,208993,8.2,26.8,9.5,50.2,8.8,12,FALSE,FALSE,22.47801,0.224780123,34.30,0.34,16.5241,0.165241241,3.8,0.038001097
Moore County,16978,54317,0.312572491,0.10419026,0.0575797,0,6488,4.7,19.3,22.1,50.8,9.5,9.1,FALSE,TRUE,18.72164,0.187216351,24.90,0.25,15.0594,0.150594222,3.0,0.030260181
Morgan County,17089,43115,0.396358576,0.235995293,0.086136393,0,21403,5,18.9,18.6,45.4,13.4,20.4,FALSE,FALSE,24.80368,0.248036788,36.10,0.36,14.4706,0.144705644,4.5,0.044656489
Obion County,21183,43516,0.486786469,0.210548833,0.108271539,1,30069,5.7,21.6,20.7,51.6,11.6,17.7,TRUE,FALSE,24.13035,0.241303461,37.90,0.38,13.0526,0.130525888,4.9,0.04946709
Overton County,19563,41100,0.475985401,0.199503541,0.071028434,1,22241,5.2,21.3,20.7,50.3,12.4,15,TRUE,FALSE,22.71977,0.227197748,38.70,0.39,13.0503,0.130503348,3.8,0.037584029
Perry County,17316,42055,0.411746522,0.286046207,0.070950471,1,8076,6.4,22.2,21.4,49.7,13.5,17.6,FALSE,FALSE,24.30811,0.243081118,28.90,0.29,12.9043,0.12904288,4.3,0.042994123
Pickett County,16768,46015,0.364402912,0.165333867,0.060356654,0,5048,4,17.1,27.8,50.3,13.7,16,FALSE,FALSE,20.78890,0.207888969,31.20,0.31,12.8535,0.128535309,3.8,0.038021259
Polk County,18447,43985,0.419392975,0.177710116,0.090347059,0,16832,5,19.1,21.7,50.5,13.9,15.8,FALSE,FALSE,21.86348,0.218634833,34.40,0.34,13.9638,0.13963805,4.2,0.04188985
Putnam County,19650,52365,0.375250645,0.24004136,0.076747656,2,80245,5.6,20.8,16.8,50.3,12.3,14.5,FALSE,TRUE,23.69779,0.236977942,28.30,0.28,14.9190,0.149189618,3.6,0.035508302
Rhea County,19221,44586,0.431099448,0.22852765,0.080451131,1,33167,6,22.4,18.8,50.4,12.8,18.4,TRUE,FALSE,23.41253,0.2341253,37.80,0.38,13.4925,0.134924929,5.6,0.056118532
Roane County,18196,55605,0.327236759,0.161870643,0.092653841,1,53382,4.6,18.6,23.2,50.9,11.1,14.8,FALSE,TRUE,19.95539,0.199553904,34.10,0.34,13.0748,0.130748405,4.1,0.041117782
Robertson County,18809,52416,0.358840812,0.105450854,0.073846415,1,71813,6.2,23.5,15.4,50.6,12.2,10.6,FALSE,TRUE,19.80647,0.198064669,34.10,0.34,15.6038,0.156038157,3.1,0.031372549
Rutherford County,18443,56120,0.328635068,0.125554234,0.060808878,4,332285,6.5,24.5,10.8,50.9,10.2,10.4,FALSE,TRUE,18.86319,0.188631904,35.90,0.36,15.9935,0.159935344,2.7,0.02688309
Scott County,21798,37493,0.581388526,0.276906043,0.134461164,0,22068,6.1,24.1,17.2,50.9,13.2,21.2,TRUE,FALSE,25.82044,0.258204368,42.10,0.42,13.8420,0.138420195,4.3,0.043037378
Sequatchie County,16698,47775,0.349513344,0.16085124,0.090952307,0,15026,5.4,20.6,20.8,50.5,11.7,16,FALSE,FALSE,21.49581,0.214958116,37.90,0.38,14.5264,0.145263646,4.3,0.043370303
Sevier County,18174,44406,0.409269018,0.15305084,0.063847736,1,98250,5.4,20.4,20.3,50.9,17.5,13.9,FALSE,FALSE,21.47980,0.214798024,44.30,0.44,13.4502,0.134502361,3.5,0.03493606
Shelby County,19836,60081,0.330154292,0.213843197,0.09372589,22,937166,6.9,24.8,14,52.6,13.6,21.7,FALSE,TRUE,20.09697,0.200969678,35.50,0.36,13.4131,0.134131488,4.2,0.041534521
Smith County,17623,50952,0.345874549,0.161657915,0.042317029,1,20157,6,22.3,17.3,50.3,11.5,13.9,FALSE,TRUE,22.15440,0.221543977,30.00,0.30,14.8896,0.148896079,3.1,0.030508475
Stewart County,27740,45266,0.612821986,0.192117095,0.085315987,0,13715,5.4,20.7,20.7,50,12.7,13.9,TRUE,FALSE,20.70366,0.207036622,26.90,0.27,14.1153,0.14115311,5.0,0.05003864
Sullivan County,17559,52936,0.331702433,0.168492183,0.077313215,5,158348,4.8,19.1,22.2,51.3,11.8,16.5,FALSE,TRUE,22.09969,0.220996876,34.00,0.34,12.5061,0.125061305,3.7,0.036961484
Sumner County,20373,68730,0.296420777,0.096764192,0.052417547,3,191283,6,23.4,16.2,51.2,10,8.9,FALSE,TRUE,18.13670,0.181367004,31.10,0.31,17.0218,0.17021806,2.8,0.027819991
Tipton County,22398,50239,0.445828938,0.138166472,0.092918463,1,61599,5.9,24.2,14.9,50.7,11.1,12,TRUE,TRUE,21.23710,0.212371033,32.40,0.32,14.8451,0.148451183,4.2,0.042158093
Trousdale County,27602,44579,0.619170461,0.132646576,0.079770595,1,11284,5.2,17.9,13,41.1,12.5,18.6,TRUE,FALSE,23.07084,0.230708427,22.40,0.22,16.5132,0.165132111,3.3,0.032528642
Unicoi County,19597,43235,0.453267029,0.210349157,0.114530578,1,17883,4.5,18.5,23.3,50.5,12.1,16.1,TRUE,FALSE,21.88861,0.218886102,33.00,0.33,13.1242,0.131242327,4.9,0.048973815
Union County,21516,42048,0.511700913,0.235469609,0.090509199,0,19972,5.5,21.5,18.6,50.5,13.5,19.8,TRUE,FALSE,25.15004,0.251500355,33.90,0.34,13.8020,0.138020223,4.1,0.040734289
Van Buren County,16244,39762,0.408530758,0.191389292,0.116626315,0,5872,5.7,19.7,23.4,49.6,13.7,16.3,FALSE,FALSE,22.37161,0.223716146,31.60,0.32,12.8884,0.128884039,4.7,0.04740958
Warren County,24699,40462,0.610424596,0.206782922,0.078094713,1,41277,5.9,23.3,17.9,50.3,15.9,22.5,TRUE,FALSE,24.13919,0.241391893,38.10,0.38,13.2412,0.132412227,3.9,0.039495698
Washington County,17256,55833,0.309064532,0.171177104,0.056748763,5,129375,4.9,18.9,18.8,51.1,10.7,14.9,FALSE,TRUE,20.44618,0.204461767,31.00,0.31,14.0587,0.140586954,3.5,0.035282915
Wayne County,22658,42781,0.529627638,0.189302638,0.083333336,1,16673,4.1,16.6,19.9,44.6,13.3,21.3,TRUE,FALSE,24.66795,0.246679451,34.70,0.35,13.6672,0.136672194,4.9,0.048780488
Weakley County,20655,44666,0.462432275,0.190912291,0.099634945,3,33328,5.2,19.2,19,51.2,12.7,19.7,TRUE,FALSE,22.15736,0.221573614,38.60,0.39,13.5212,0.135212482,4.2,0.042166417
White County,18515,40443,0.457804812,0.181196317,0.104756616,1,27345,5.8,21.8,20.5,51,12.6,17.3,TRUE,FALSE,23.43519,0.234351912,31.40,0.31,13.2267,0.132266965,3.7,0.036869069
Williamson County,17527,130072,0.134748447,0.051501036,0.037471674,3,238412,5.9,26.8,13.5,50.9,6.1,3.8,FALSE,TRUE,15.25620,0.152562019,21.60,0.22,16.2437,0.162436853,2.5,0.024804188
Wilson County,20618,67579,0.305094778,0.09098912,0.05364684,2,144657,6,23.4,16,50.8,9.4,7.8,FALSE,TRUE,18.18067,0.181806682,37.20,0.37,16.7201,0.167201304,2.8,0.027787659
